Year,Month,day,Hour,Demand,Price
2013.0,1.0,18.0,12.0,12432.26,39.549190000000003
2013.0,1.0,18.0,13.0,12150.780000000001,36.475929999999998
2013.0,1.0,18.0,14.0,12017.129999999999,36.121899999999997
2013.0,1.0,18.0,15.0,11841.73,35.905320000000003
2013.0,1.0,18.0,16.0,11833.709999999999,34.861060000000002
2013.0,1.0,18.0,17.0,12115.24,40.964660000000002
2013.0,1.0,18.0,18.0,13058.639999999999,45.699350000000003
2013.0,1.0,18.0,19.0,13625.68,46.270339999999997
2013.0,1.0,18.0,20.0,13329.809999999999,41.476170000000003
2013.0,1.0,18.0,21.0,12937.27,39.427390000000003
2013.0,1.0,18.0,22.0,12373.540000000001,38.353409999999997
2013.0,1.0,18.0,23.0,11593.17,40.218350000000001
2013.0,1.0,18.0,24.0,10742.610000000001,35.087069999999997
2013.0,1.0,19.0,1.0,10343.219999999999,33.880699999999997
2013.0,1.0,19.0,2.0,9816.5499999999993,32.20111
2013.0,1.0,19.0,3.0,9551.7199999999993,30.451239999999999
2013.0,1.0,19.0,4.0,9446.9200000000001,30.287430000000001
2013.0,1.0,19.0,5.0,9571.5499999999993,30.553889999999999
2013.0,1.0,19.0,6.0,9984.4699999999993,34.366370000000003
2013.0,1.0,19.0,7.0,10781.809999999999,35.421320000000001
2013.0,1.0,19.0,8.0,11426.16,38.240070000000003
2013.0,1.0,19.0,9.0,11802.82,38.669080000000001
2013.0,1.0,19.0,10.0,11878.379999999999,42.092190000000002
2013.0,1.0,19.0,11.0,11738.559999999999,41.207689999999999
